description,port,status,tcp,udp
NetBIOS NetBIOS Session Service,139,Official,True,True
NetBIOS NetBIOS Datagram Service,138,Official,True,True
Nintendo Wi-Fi Connection[118],28910,Unofficial,False,False
GoGlobal TCP/IP version),491,,True,True
HTTP/TCP Symon Communications Event and Query Engine[citation needed],8011-8013,Unofficial,True,False
XMPP File transfers,8010,Unofficial,True,False
Priv-mail : any private mail system.,24,Official,True,True
Simple Mail Transfer Protocol (SMTP)—used for e-mail routing between mail servers,25,Official,True,False
Unassigned,26,Official,True,True
NSW User System FE,27,Official,True,True
FTP data transfer,20,Official,True,True
FTP control (command),21,Official,True,False
Secure Shell (SSH) — used for secure logins, file transfers (scp, sftp) and port forwarding,22,Official,True,True
Telnet protocol—unencrypted text communications,23,Official,True,True
Lock-on: Modern Air Combat[citation needed],10308,Unofficial,False,False
MSG ICP,29,Official,True,True
collectd default port[115],25826,Unofficial,False,True
Talari Reliable Protocol,2156,Official,False,True
Solar Data Log (JK client app for PV solar inverters)[citation needed],4982,Unofficial,True,True
UPS Uninterruptible Power Supply,401,Official,True,True
CVS version control system,2401,Unofficial,True,False
Call of Duty; Call of Duty: United Offensive; Call of Duty 2; Call of Duty 4: Modern Warfare; Call of Duty: World at War (PC Version),28960,Unofficial,False,True
Artemis: Spaceship Bridge Simulator default port,2010,Unofficial,True,False
Remoticus Server,2012-2013,Unofficial,True,False
QualiSystems TestShell Suite Services,4610–4640,Unofficial,True,False
Used by RedSeal Networks client/server connection[citation needed],3835,Unofficial,True,False
iOperator Protocol Signal Port[citation needed],6072,Unofficial,True,False
new ICA (Citrix) —when Session Reliability is enabled, TCP port 2598 replaces port 1494[46],2598,Unofficial,True,False
IPSec NAT Traversal (RFC 3947),4500,Official,False,True
WiT WiT Services,9025,Official,True,False
SonicWALL anti-spam traffic between Remote Analyzer (RA) and Control Center (CC),2599,Unofficial,True,False
Symantec NetBackup—bprd (formerly VERITAS),13720,Official,True,True
Symantec NetBackup—bpdbm (formerly VERITAS),13721,Official,True,True
MultiBit, [8],8331,Unofficial,True,False
Symantec Network Utility—vnetd (formerly VERITAS),13724,Official,True,True
Microsoft Corporation Microsoft Windows SBS SharePoint,987,Unofficial,True,False
NetIQ VoIP Assessor,10116,Official,True,True
IPStor Server management communication,11576,Unofficial,False,False
NetIQ Qcheck,10114,Official,True,True
NetIQ Endpoint,10115,Official,True,True
CVSup file update tool[82],5999,Official,True,False
NetIQ Endpoint,10113,Official,True,True
NMEA 0183 Navigational Data. Transport of NMEA 0183 sentences over TCP or UDP,10110,Official,True,True
Rise: The Vieneo Province,7473,Official,True,True
A-Talk Common connection[citation needed],5106,Unofficial,True,False
OpenPGP HTTP key server,11371,Official,True,False
Sibelius License Server,7312,Unofficial,False,True
Tonido Directory Server for Tonido which is a Personal Web App and P2P platform,24465,Official,True,True
Integrated Client Message Service (ICMS),4486,Official,True,True
Certificate Management Protocol[38],829,Unofficial,True,False
ISL Online[88] communication protocol,7615,Unofficial,True,False
traceroute,33434,Official,True,True
ClearCase albd,371,Official,True,True
codaauth2—Coda authentication server,370,Official,True,False
codaauth2—Coda authentication server,370,Official,False,True
securecast1—Outgoing packets to NAI's servers [19][dead link],370,Unofficial,False,True
Bad Trip MUD[citation needed],7778,Unofficial,True,False
Group Domain Of Interpretation (GDOI) protocol,848,Official,True,True
FileNet RPC,32769,Unofficial,True,False
MXit Instant Messenger,9119,Official,True,True
Axence nVision [59],4433-4436,Unofficial,True,False
A-Talk Remote server connection[citation needed],5107,Unofficial,True,False
Secure Internet Live Conferencing (SILC),706,Official,True,False
EPP (Extensible Provisioning Protocol), a protocol for communication between domain name registries and registrars (RFC 5734),700,Official,True,False
Binary Floor Control Protocol (BFCP),[68] published as RFC 4582, is a protocol that allows for an additional video channel (known as the content channel) alongside the main video channel in a video-conferencing call that uses SIP. Also used for Session Initiation Protocol (SIP) preferred port for PUBLISH on SIP Trunk to Cisco Unified Presence Server (CUPS),5070,Unofficial,True,False
IRIS[30][31] (Internet Registry Information Service) over BEEP (Blocks Extensible Exchange Protocol)[32] (RFC 3983),702,Official,True,False
Kerberos—authentication system,88,Official,True,True
Hotline tracker server connection,5498,Unofficial,True,False
Hotline tracker server discovery,5499,Unofficial,False,True
MySQL database system,3306,Official,True,True
IBM Cognos TM1 Admin server,5495,Unofficial,True,False
Digital Equipment Corporation DECnet (Phase V+) over TCP/IP,399,Official,True,True
odette-ftp, Odette File Transfer Protocol (OFTP),3305,Official,True,True
Debate Gopher backend database system[citation needed],3300,Unofficial,True,True
Solaris lockd NFS lock daemon/manager,4045,Unofficial,True,True
Club Penguin Disney online game for kids,9875,Unofficial,True,False
